destination_code,destination_id,destination_name,discharge_port,entry_number,entry_status,excise_duty,export_duty,hscode_code,hscode_description,hscode_id,id,import_declaration_fee,import_duty,import_vat,origin_code,origin_id,origin_name,product_id,product_name,quantity,railway_development_levy,reg_date
KE,118,Kenya,ICD,23EMKIM400221397,Removed,0,0,4819.10.00,Cartons,12,11507,839,5991,4793,IN,105,India,6087,H; PHARMACEUTICAL PACKAGING MATERIAL;ELYCORT CREAM 15GM CTN; 3000; 147; 1; 9631.44; ,2579.85,480,02/27/2023
EG,67,Egypt,MEX,23MBAEX301457942,Settled,0,0,4819.40.00,Paper and bags,11,11508,839,5991,4793,LK,131,Sri Lanka,5771,CARBON FOOT PRINT PAPER SACKS VALVE TYPE 2PLIES 80GSM/1INNER PLY 97GSM; 50; 10; ,38.0,480,03/17/2023
KE,118,Kenya,NMA,23NMAIM400109000,Removed,0,0,4804.21.00,Unbleached sack kraft,2,11509,839,5991,4793,TZ,230,"Tanzania, United Republic of",1666,SACK KRAFT PAPER; 0;,29276.0,480,03/12/2023
KE,118,Kenya,FFK,23MBAIM401300708,Settled,0,0,4819.30.00,Paper and bags,10,11510,839,5991,4793,GB,80,United Kingdom,6088,SINGLE BOTTLE GIFT BAG; 7; 1; 1;,0.77,480,03/31/2023
KE,118,Kenya,ICD,23EMKIM400360724,Removed,0,0,4804.11.00,Unbleached kraft liner,1,11511,839,5991,4793,US,235,United States,6089,KRAFT LINER 125K/127; 1; 2261.18;,3371.0,480,04/05/2023
KE,118,Kenya,BSA,23BUSIMP00137254,Settled,0,0,4819.30.00,Paper and bags,10,11512,839,5991,4793,UG,231,Uganda,6090,NON WOOVEN BAGS; 1500; 12;,700.0,480,04/17/2023
KE,118,Kenya,ICD,23EMKIM400377972,Removed,0,0,4819.10.00,Cartons,12,11513,839,5991,4793,IN,105,India,6091,"H; PRINTED CARTON(200,000 PCS); 1; 1; 1; 1216; ",1216.0,480,04/11/2023
RU,190,Russian Federation,MEX,23MBAEX301514381,Settled,0,0,4819.40.00,Paper and bags,11,11514,839,5991,4793,LK,131,Sri Lanka,5795,CARBON FOOT PRINT PAPER SACKS- VALVE TYPE - 2Plies 80GSM/1Inner ply 97GSM; 50; 8; ,217.0,480,03/21/2023
KE,118,Kenya,TKA,23THKIM400030530,Settled,0,0,4804.39.00,Other bleached kraft Paper and paperboard weighing 150 g/m2 or less,5,11515,839,5991,4793,AT,16,Austria,6092,BLEACHED KRAFT PAPER STARKRAFT FORMFILL 80G/M2; ,24658.0,480,04/18/2023
EG,67,Egypt,MEX,23MBAEX302245595,Settled,0,0,4819.40.00,Paper and bags,11,11516,839,5991,4793,LK,131,Sri Lanka,3017,PAPER SACKS; 0; 510; ,245.0,480,04/25/2023
EG,67,Egypt,MEX,23MBAEX302752977,Settled,0,0,4819.40.00,Paper and bags,11,11517,839,5991,4793,LK,131,Sri Lanka,6093,CARBON FOOT PRINT PAPER SACKS VALVE TYPE 2PLIES 80GSM/1INNER PLY 97GSM; 50; 11;,245.0,480,05/17/2023
KE,118,Kenya,ICD,23EMKIM400539672,Settled,0,0,4804.11.00,Unbleached kraft liner,1,11518,839,5991,4793,FI,73,Finland,1647,KRAFTLINER; 1;,46865.0,480,05/17/2023
KE,118,Kenya,ICD,23EMKIM400466401,Settled,0,0,4811.59.90,PE Comet Paper,13,11519,839,5991,4793,CN,44,China,6094,Sun Top-Mango & Apple Blend; 0;,3392.0,480,05/02/2023
KE,118,Kenya,ICD,23EMKIM400557121,Settled,0,0,4804.11.00,Unbleached kraft liner,1,11520,839,5991,4793,PL,180,Poland,6095,TOP KRAFTLINER 125KT/148; 1;,4937.0,480,05/25/2023
KE,118,Kenya,ICD,23EMKIM400543664,Removed,0,0,4819.10.00,Cartons,12,11521,839,5991,4793,IN,105,India,6096,"H; PRINTED CARTONS MADE OUT OF PAPERBOARD(1,497,400PCS); 1; 1; 1; 16494;",16494.0,480,05/17/2023
KE,118,Kenya,NMA,23NMAIM400224270,Removed,0,0,4804.11.00,Unbleached kraft liner,1,11522,839,5991,4793,TZ,230,"Tanzania, United Republic of",1120,KRAFT LINER PAPER; 0;,27148.0,480,05/10/2023
KE,118,Kenya,NMA,23NMAIM400224099,Removed,0,0,4804.11.00,Unbleached kraft liner,1,11523,839,5991,4793,TZ,230,"Tanzania, United Republic of",1120,KRAFT LINER PAPER; 0;,29037.0,480,05/10/2023
KE,118,Kenya,NBF,23NBOIM406101320,Removed,0,0,4804.11.00,Unbleached kraft liner,1,11524,839,5991,4793,SE,211,Sweden,6097,KRAFTLINER BOARD SUBSTANCE 100 - 300 GSM; 2000000; ,168153.0,480,06/02/2023
KE,118,Kenya,NMA,23NMAIM400286158,Removed,0,0,4804.11.00,Unbleached kraft liner,1,11525,839,5991,4793,TZ,230,"Tanzania, United Republic of",5768,KRAFTLINER; 0;,29442.0,480,06/07/2023
KE,118,Kenya,MSA,23MBAIM402936205,Settled,0,0,7207.11.00,Billets,8,11526,839,5991,4793,ZA,247,South Africa,6098,PRIME STEEL BILLETS SIZE 100X100X6000MM; 2500000; 0;,2541720.0,480,05/25/2023
KE,118,Kenya,NBI,23NBOIM406446580,Settled,0,0,7213.91.10,Wire rods,9,11527,839,5991,4793,KE,118,Kenya,6099,DRS WASTE; ,20942.48,480,06/12/2023
KE,118,Kenya,ICD,23EMKIM400583050,Removed,0,0,4804.11.00,Unbleached kraft liner,1,11528,839,5991,4793,FI,73,Finland,6100,KRAFTLINER; 1; 48703; ,48703.0,480,05/30/2023
KE,118,Kenya,ICD,23EMKIM400584650,Settled,0,0,4811.59.90,PE Comet Paper,13,11529,839,5991,4793,CN,44,China,6101,Sun Top-Berries; 0;,1630.0,480,05/30/2023
KE,118,Kenya,ICD,23EMKIM400666260,Settled,0,0,4804.39.00,Other bleached kraft Paper and paperboard weighing 150 g/m2 or less,5,11530,839,5991,4793,SE,211,Sweden,6102,SFN/MF BLEACHED KRAFT PAPER SUBS:85GSM RW:1265MM DIA:1200MM CORE:76MM; 1;,47643.0,480,06/19/2023
KE,118,Kenya,PO2,23MBAIM403548763,Removed,0,0,7207.11.00,Billets,8,11531,839,5991,4793,OM,172,Oman,6103,"NON ALLOY STEEL BILLETS GRADE:SAE1006,SIZE:130X130X12000MM; 2185320; 1; 2185320; ",2185320.0,480,06/23/2023
EG,67,Egypt,MEX,22MBAEX305776740,Settled,0,0,4819.40.00,Paper and bags,11,11532,839,5991,4793,LK,131,Sri Lanka,4358,PAPER SACKS; 0; 510;,247.0,480,01/04/2023
KE,118,Kenya,ICD,23EMKIM400004380,Settled,0,0,4811.59.90,PE Comet Paper,13,11533,839,5991,4793,CN,44,China,6104,KWAL ORCHID VALLEY DELIGHT APPLE 1LS PLH; 1;,5446.0,480,01/03/2023
KE,118,Kenya,CNT,23MBAIM400076414,Settled,0,0,4804.21.00,Unbleached sack kraft,2,11534,839,5991,4793,SE,211,Sweden,6105,UNBLEACHED SACK KRAFT PAPER SUB 70GSM DIAMETER 1000MM CORE 76MM; 1;,50000.0,480,01/16/2023
KE,118,Kenya,CCF,23MBAIM400388545,Settled,0,0,4804.31.00,Unbleached kraft paper,3,11535,839,5991,4793,FI,73,Finland,6106,120(g/m); AXELLO TOUGH BROWN (BROWN KRAFT PAPER); 120(g/m); 1;,95183.0,480,01/23/2023
KE,118,Kenya,MTS,23MBAIM400266307,Settled,0,0,4819.10.00,Cartons,12,11536,839,5991,4793,CN,44,China,6107,BOX; PACKING BOX; 500; 55; 0;,1500.0,480,01/16/2023
KE,118,Kenya,ICD,23EMKIM400048289,Removed,0,0,4819.10.00,Cartons,12,11537,839,5991,4793,IN,105,India,6108,H; PHARMACEUTICAL PACKAGING MATERIAL;IBUFEN 100ML SUSP CTN; 1800; 73; 1; 3955.14; ,1460.0,480,01/13/2023
EG,67,Egypt,MEX,23MBAEX300312100,Settled,0,0,4819.40.00,Paper and bags,11,11538,839,5991,4793,LK,131,Sri Lanka,6109,PAPER SACKS; 20; 510; ,190.0,480,01/18/2023
KE,118,Kenya,AT2,23ATNIM400027810,Settled,0,0,4819.10.00,Cartons,12,11539,839,5991,4793,EG,67,Egypt,6110,N; EMPTY CARTON 100PCS; 100; 100; 0; ,12.5,480,02/08/2023
EG,67,Egypt,MEX,23MBAEX300451879,Settled,0,0,4819.40.00,Paper and bags,11,11540,839,5991,4793,LK,131,Sri Lanka,5805,CARBON FOOT PRINT PAPER SACKS VALVE TYPE 2PLIES 80GSM/1INNER PLY 97GSM; 50; 10;,40.0,480,01/25/2023
KE,118,Kenya,ICD,23EMKIM400156968,Settled,0,0,4804.39.00,Other bleached kraft Paper and paperboard weighing 150 g/m2 or less,5,11541,839,5991,4793,FI,73,Finland,4391,"BLEACHED KRAFT PAPER 1268MM,BK PIETARS. PM1; 0;",47951.0,480,02/10/2023
KE,118,Kenya,ICD,23EMKIM400167796,Removed,0,0,4804.11.00,Unbleached kraft liner,1,11542,839,5991,4793,PL,180,Poland,6111,KRAFT LINERBOARD 135/170 GSM W 1620-2040 OD 1400mm core 100mm; 0; 155393.71; ,220000.0,480,02/14/2023
EG,67,Egypt,MEX,23MBAEX300467394,Settled,0,0,4819.40.00,Paper and bags,11,11543,839,5991,4793,LK,131,Sri Lanka,3017,PAPER SACKS; 0; 510; ,95.0,480,01/27/2023
KE,118,Kenya,NMA,23NMAIM400080020,Removed,0,0,4804.11.00,Unbleached kraft liner,1,11544,839,5991,4793,TZ,230,"Tanzania, United Republic of",1723,KRAFT LINER; 0;,29052.0,480,02/24/2023
KE,118,Kenya,KRC,23KRCIM400001898,Settled,0,0,4819.40.00,Paper and bags,11,11545,839,5991,4793,CN,44,China,6112,1; GIFT BAG; 400; 30; ,1500.0,480,02/22/2023
KE,118,Kenya,ICD,23EMKIM400177916,Settled,0,0,4819.30.00,Paper and bags,10,11546,839,5991,4793,NL,167,Netherlands,6113,Zeelandia packaging bag; 2500; 1; 0;,525.0,480,02/16/2023
KE,118,Kenya,ICD,23EMKIM400271385,Settled,0,0,4804.11.00,Unbleached kraft liner,1,11547,839,5991,4793,US,235,United States,6114,KRAFT LINER 115gsm/122cm; 1;,3255.0,480,03/13/2023
